Start,Finish,Distance (mi),Flights Climbed (count),Steps (count)
29-May-2016 00:00,30-May-2016 00:00,4.58727805481014,6.0,11024.5152502415
30-May-2016 00:00,31-May-2016 00:00,4.80611769403167,28.0,10931.0
31-May-2016 00:00,01-Jun-2016 00:00,3.21073230419945,19.0,7110.0
01-Jun-2016 00:00,02-Jun-2016 00:00,4.7413724200604,21.0,10165.0
02-Jun-2016 00:00,03-Jun-2016 00:00,6.33011015683068,25.0,13666.0
03-Jun-2016 00:00,04-Jun-2016 00:00,4.02275101253487,19.0,9091.42125055257
04-Jun-2016 00:00,05-Jun-2016 00:00,3.35551593626166,6.0,7925.57874944743
05-Jun-2016 00:00,06-Jun-2016 00:00,0.675507587176337,5.0,1481.0
06-Jun-2016 00:00,07-Jun-2016 00:00,3.58694915257631,13.0,8187.0
07-Jun-2016 00:00,08-Jun-2016 00:00,2.74094859601861,17.0,6542.0
08-Jun-2016 00:00,09-Jun-2016 00:00,6.91635350501298,26.0,16369.0
09-Jun-2016 00:00,10-Jun-2016 00:00,4.5213651132846,17.0,10390.7639559071
10-Jun-2016 00:00,11-Jun-2016 00:00,5.74569107951143,15.0,13300.2360440929
11-Jun-2016 00:00,12-Jun-2016 00:00,11.1796044633866,34.0,27538.0
12-Jun-2016 00:00,13-Jun-2016 00:00,4.9437277917502,16.0,11500.2041705711
13-Jun-2016 00:00,14-Jun-2016 00:00,7.37548888585581,28.0,16607.4458316695
14-Jun-2016 00:00,15-Jun-2016 00:00,5.76433015463974,11.0,12547.3499977594
15-Jun-2016 00:00,16-Jun-2016 00:00,3.75355599625201,14.0,8887.0
16-Jun-2016 00:00,17-Jun-2016 00:00,2.55972557127404,19.0,6197.0
17-Jun-2016 00:00,18-Jun-2016 00:00,4.15195603606345,15.0,9876.28606967173
18-Jun-2016 00:00,19-Jun-2016 00:00,3.25695333114958,16.0,7708.71393032828
19-Jun-2016 00:00,20-Jun-2016 00:00,1.32729959505882,1.0,3276.0
20-Jun-2016 00:00,21-Jun-2016 00:00,4.54865397136311,19.0,10066.0
21-Jun-2016 00:00,22-Jun-2016 00:00,4.59270344357638,17.0,9832.0
22-Jun-2016 00:00,23-Jun-2016 00:00,5.64774241980506,20.0,12460.2740667401
23-Jun-2016 00:00,24-Jun-2016 00:00,4.3671755018877,6.0,10847.7259332599
24-Jun-2016 00:00,25-Jun-2016 00:00,4.63222502620068,3.0,11336.0
25-Jun-2016 00:00,26-Jun-2016 00:00,0.0485468406881067,0.0,157.0
26-Jun-2016 00:00,27-Jun-2016 00:00,0.0430173187094243,3.0,132.0
27-Jun-2016 00:00,28-Jun-2016 00:00,3.45600569566398,4.0,8432.0
28-Jun-2016 00:00,29-Jun-2016 00:00,3.8347459869785,20.0,9208.0
29-Jun-2016 00:00,30-Jun-2016 00:00,4.83707867806913,19.0,10251.0
30-Jun-2016 00:00,01-Jul-2016 00:00,4.76636615558396,13.0,11127.0
01-Jul-2016 00:00,02-Jul-2016 00:00,3.14280837723759,16.0,7466.0
02-Jul-2016 00:00,03-Jul-2016 00:00,2.09043901463473,4.0,5217.54031446402
03-Jul-2016 00:00,04-Jul-2016 00:00,4.66283510204289,3.0,12231.2814066081
04-Jul-2016 00:00,05-Jul-2016 00:00,2.79259783392358,11.0,6671.17827892784
05-Jul-2016 00:00,06-Jul-2016 00:00,2.63595292319438,16.0,6112.0
06-Jul-2016 00:00,07-Jul-2016 00:00,5.72148125277775,14.0,13357.0
07-Jul-2016 00:00,08-Jul-2016 00:00,6.86089610832128,28.0,15445.0
08-Jul-2016 00:00,09-Jul-2016 00:00,7.05294523422322,32.0,16103.5784762336
09-Jul-2016 00:00,10-Jul-2016 00:00,6.16872269474964,11.0,15976.4215237664
10-Jul-2016 00:00,11-Jul-2016 00:00,4.49971952993184,15.0,10912.1873906753
11-Jul-2016 00:00,12-Jul-2016 00:00,3.05365097230279,27.0,6826.81260932468
12-Jul-2016 00:00,13-Jul-2016 00:00,4.45259540790659,9.0,10569.0
13-Jul-2016 00:00,14-Jul-2016 00:00,4.46344499248532,22.0,10412.0
14-Jul-2016 00:00,15-Jul-2016 00:00,3.59388664449646,16.0,8744.0
15-Jul-2016 00:00,16-Jul-2016 00:00,7.10293224733017,21.0,16539.6643662323
16-Jul-2016 00:00,17-Jul-2016 00:00,6.60679021811385,6.0,15949.3356337677
17-Jul-2016 00:00,18-Jul-2016 00:00,6.16794787841617,13.0,14494.0
18-Jul-2016 00:00,19-Jul-2016 00:00,4.7442675635599,15.0,11764.0
19-Jul-2016 00:00,20-Jul-2016 00:00,4.62664695392507,21.0,10982.0
20-Jul-2016 00:00,21-Jul-2016 00:00,2.62763199480558,3.0,5928.0
21-Jul-2016 00:00,22-Jul-2016 00:00,5.69837175440645,23.0,14269.0
22-Jul-2016 00:00,23-Jul-2016 00:00,2.86844092035152,19.0,6866.0
23-Jul-2016 00:00,24-Jul-2016 00:00,1.48191671973745,5.0,3351.0
24-Jul-2016 00:00,25-Jul-2016 00:00,3.23371839060406,2.0,7993.0
25-Jul-2016 00:00,26-Jul-2016 00:00,0.0743145157146299,1.0,217.0
26-Jul-2016 00:00,27-Jul-2016 00:00,5.75434794759744,30.0,13250.0
27-Jul-2016 00:00,28-Jul-2016 00:00,6.22142766400201,23.0,16006.0
28-Jul-2016 00:00,29-Jul-2016 00:00,5.503253381603,24.0,13586.0
29-Jul-2016 00:00,30-Jul-2016 00:00,0.761669351138472,0.0,1882.0
30-Jul-2016 00:00,31-Jul-2016 00:00,10.8286269890257,42.0,24036.3094349673
31-Jul-2016 00:00,01-Aug-2016 00:00,4.33030106187726,4.0,10344.6905650327
01-Aug-2016 00:00,02-Aug-2016 00:00,3.26206887076443,13.0,8018.0
02-Aug-2016 00:00,03-Aug-2016 00:00,5.61668405508593,29.0,13390.0
03-Aug-2016 00:00,04-Aug-2016 00:00,5.97141743556453,35.0,14303.0
04-Aug-2016 00:00,05-Aug-2016 00:00,6.29679964363007,24.0,15464.0
05-Aug-2016 00:00,06-Aug-2016 00:00,10.2154382042288,43.0,23510.8045319973
06-Aug-2016 00:00,07-Aug-2016 00:00,9.71365056300157,9.0,21707.6666388386
07-Aug-2016 00:00,08-Aug-2016 00:00,5.86359315832678,14.0,13014.5288291641
08-Aug-2016 00:00,09-Aug-2016 00:00,4.60683342996913,23.0,11369.0
09-Aug-2016 00:00,10-Aug-2016 00:00,5.50883160777686,37.0,12700.0
10-Aug-2016 00:00,11-Aug-2016 00:00,5.48412115381978,22.0,13781.0
11-Aug-2016 00:00,12-Aug-2016 00:00,4.54667666468183,23.0,11318.0
12-Aug-2016 00:00,13-Aug-2016 00:00,2.83071415669949,21.0,6724.0
13-Aug-2016 00:00,14-Aug-2016 00:00,3.09566489109968,9.0,6977.0
14-Aug-2016 00:00,15-Aug-2016 00:00,2.35069640879379,2.0,5981.0
15-Aug-2016 00:00,16-Aug-2016 00:00,4.4717431159994,18.0,11161.0
16-Aug-2016 00:00,17-Aug-2016 00:00,3.89470282159567,3.0,9268.0
17-Aug-2016 00:00,18-Aug-2016 00:00,7.5546729397527,43.0,17309.0
18-Aug-2016 00:00,19-Aug-2016 00:00,4.36029103971335,18.0,10423.2040350016
19-Aug-2016 00:00,20-Aug-2016 00:00,10.3223092577734,40.0,23093.9037584993
20-Aug-2016 00:00,21-Aug-2016 00:00,1.58340699327964,8.0,3792.89220649907
21-Aug-2016 00:00,22-Aug-2016 00:00,2.76440389878606,5.0,6453.0
22-Aug-2016 00:00,23-Aug-2016 00:00,2.51884359628352,4.0,6412.0
